Sample ID	iCluster
TCGA-D3-A5GN	15
TCGA-D3-A5GS	15
TCGA-D3-A5GT	15
TCGA-D3-A5GU	15
TCGA-D3-A8GB	25
TCGA-D3-A8GC	15
TCGA-D3-A8GD	15
TCGA-D3-A8GE	3
TCGA-D3-A8GJ	15
TCGA-D3-A8GL	15
TCGA-D3-A8GM	15
TCGA-D3-A8GN	15
TCGA-D3-A8GO	3
TCGA-D3-A8GP	15
TCGA-D3-A8GQ	15
TCGA-D3-A8GR	15
TCGA-D3-A8GS	15
TCGA-D3-A8GV	7
TCGA-D9-A148	15
TCGA-D9-A149	15
TCGA-D9-A1JW	15
TCGA-D9-A1JX	7
TCGA-D9-A1X3	15
TCGA-D9-A3Z1	15
TCGA-D9-A3Z3	15
TCGA-D9-A3Z4	15
TCGA-D9-A4Z2	7
TCGA-D9-A4Z3	15
TCGA-D9-A4Z5	7
TCGA-D9-A4Z6	15
TCGA-D9-A6E9	15
TCGA-D9-A6EA	15
TCGA-D9-A6EC	15
TCGA-DA-A1HV	15
TCGA-DA-A1HW	15
TCGA-DA-A1HY	15
TCGA-DA-A1I0	15
TCGA-DA-A1I1	15
TCGA-DA-A1I2	15
TCGA-DA-A1I4	15
TCGA-DA-A1I5	3
TCGA-DA-A1I7	15
TCGA-DA-A1I8	15
TCGA-DA-A1IA	15
TCGA-DA-A1IB	3
TCGA-DA-A1IC	15
TCGA-DA-A3F2	3
TCGA-DA-A3F3	7
TCGA-DA-A3F5	15
TCGA-DA-A3F8	3
TCGA-DA-A95V	15
TCGA-DA-A95W	15
TCGA-DA-A95X	15
TCGA-DA-A95Y	15
TCGA-DA-A95Z	15
TCGA-DA-A960	15
TCGA-EB-A1NK	15
TCGA-EB-A24C	15
TCGA-EB-A24D	15
TCGA-EB-A299	7
TCGA-EB-A3HV	7
TCGA-EB-A3XB	15
TCGA-EB-A3XC	7
TCGA-EB-A3XD	20
TCGA-EB-A3XE	15
TCGA-EB-A3XF	15
TCGA-EB-A3Y6	15
TCGA-EB-A3Y7	15
